product_category_name,Unnamed: 0.1,Unnamed: 0,product_id,product_name_english,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
agro_industria_e_comercio,74,74,74,74,74,74,74,74,74,74,74
alimentos,82,82,82,82,82,82,82,82,82,82,82
alimentos_bebidas,104,104,104,104,104,104,104,104,104,104,104
artes,55,55,55,55,55,55,55,55,55,55,55
artes_e_artesanato,19,19,19,19,19,19,19,19,19,19,19
artigos_de_festas,26,26,26,26,26,26,26,26,26,26,26
artigos_de_natal,65,65,65,65,65,65,65,65,65,65,65
audio,58,58,58,58,58,58,58,58,58,58,58
automotivo,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
bebes,919,919,919,919,919,919,919,918,918,918,918
bebidas,81,81,81,81,81,81,81,81,81,81,81
beleza_saude,2444,2444,2444,2444,2444,2444,2444,2444,2444,2444,2444
brinquedos,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411
cama_mesa_banho,3029,3029,3029,3029,3029,3029,3029,3029,3029,3029,3029
casa_conforto,111,111,111,111,111,111,111,111,111,111,111
casa_conforto_2,5,5,5,5,5,5,5,5,5,5,5
casa_construcao,225,225,225,225,225,225,225,225,225,225,225
cds_dvds_musicais,1,1,1,1,1,1,1,1,1,1,1
cine_foto,28,28,28,28,28,28,28,28,28,28,28
climatizacao,124,124,124,124,124,124,124,124,124,124,124
consoles_games,317,317,317,317,317,317,317,317,317,317,317
construcao_ferramentas_construcao,400,400,400,400,400,400,400,400,400,400,400
construcao_ferramentas_ferramentas,39,39,39,39,39,39,39,39,39,39,39
construcao_ferramentas_iluminacao,78,78,78,78,78,78,78,78,78,78,78
construcao_ferramentas_jardim,88,88,88,88,88,88,88,88,88,88,88
construcao_ferramentas_seguranca,91,91,91,91,91,91,91,91,91,91,91
cool_stuff,789,789,789,789,789,789,789,789,789,789,789
dvds_blu_ray,48,48,48,48,48,48,48,48,48,48,48
eletrodomesticos,370,370,370,370,370,370,370,370,370,370,370
eletrodomesticos_2,90,90,90,90,90,90,90,90,90,90,90
eletronicos,517,517,517,517,517,517,517,517,517,517,517
eletroportateis,231,231,231,231,231,231,231,231,231,231,231
esporte_lazer,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867
fashion_bolsas_e_acessorios,849,849,849,849,849,849,849,849,849,849,849
fashion_calcados,173,173,173,173,173,173,173,173,173,173,173
fashion_esporte,19,19,19,19,19,19,19,19,19,19,19
fashion_roupa_feminina,27,27,27,27,27,27,27,27,27,27,27
fashion_roupa_infanto_juvenil,5,5,5,5,5,5,5,5,5,5,5
fashion_roupa_masculina,95,95,95,95,95,95,95,95,95,95,95
fashion_underwear_e_moda_praia,53,53,53,53,53,53,53,53,53,53,53
ferramentas_jardim,753,753,753,753,753,753,753,753,753,753,753
flores,14,14,14,14,14,14,14,14,14,14,14
fraldas_higiene,12,12,12,12,12,12,12,12,12,12,12
industria_comercio_e_negocios,68,68,68,68,68,68,68,68,68,68,68
informatica_acessorios,1639,1639,1639,1639,1639,1639,1639,1639,1639,1639,1639
instrumentos_musicais,289,289,289,289,289,289,289,289,289,289,289
la_cuisine,10,10,10,10,10,10,10,10,10,10,10
livros_importados,31,31,31,31,31,31,31,31,31,31,31
livros_interesse_geral,216,216,216,216,216,216,216,216,216,216,216
livros_tecnicos,123,123,123,123,123,123,123,123,123,123,123
malas_acessorios,349,349,349,349,349,349,349,349,349,349,349
market_place,104,104,104,104,104,104,104,104,104,104,104
moveis_colchao_e_estofado,10,10,10,10,10,10,10,10,10,10,10
moveis_cozinha_area_de_servico_jantar_e_jardim,94,94,94,94,94,94,94,94,94,94,94
moveis_decoracao,2657,2657,2657,2657,2657,2657,2657,2657,2657,2657,2657
moveis_escritorio,309,309,309,309,309,309,309,309,309,309,309
moveis_quarto,45,45,45,45,45,45,45,45,45,45,45
moveis_sala,156,156,156,156,156,156,156,156,156,156,156
musica,27,27,27,27,27,27,27,27,27,27,27
papelaria,849,849,849,849,849,849,849,849,849,849,849
pc_gamer,3,3,3,3,3,3,3,3,3,3,3
pcs,30,30,30,30,30,30,30,30,30,30,30
perfumaria,868,868,868,868,868,868,868,868,868,868,868
pet_shop,719,719,719,719,719,719,719,719,719,719,719
portateis_casa_forno_e_cafe,31,31,31,31,31,31,31,31,31,31,31
portateis_cozinha_e_preparadores_de_alimentos,10,10,10,10,10,10,10,10,10,10,10
relogios_presentes,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329
seguros_e_servicos,2,2,2,2,2,2,2,2,2,2,2
sinalizacao_e_seguranca,93,93,93,93,93,93,93,93,93,93,93
tablets_impressao_imagem,9,9,9,9,9,9,9,9,9,9,9
telefonia,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134
telefonia_fixa,116,116,116,116,116,116,116,116,116,116,116
utilidades_domesticas,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335
